     H        R_TMM     R_Theory
0.0000       0.0400       0.0400
0.0010       0.0400       0.0400
0.0020       0.0401       0.0401
0.0030       0.0403       0.0403
0.0040       0.0406       0.0406
0.0050       0.0409       0.0409
0.0060       0.0413       0.0413
0.0070       0.0418       0.0418
0.0080       0.0423       0.0423
0.0090       0.0429       0.0429
0.0100       0.0436       0.0436
0.0110       0.0444       0.0444
0.0120       0.0452       0.0452
0.0130       0.0461       0.0461
0.0140       0.0471       0.0471
0.0150       0.0481       0.0481
0.0160       0.0492       0.0492
0.0170       0.0504       0.0504
0.0180       0.0516       0.0516
0.0190       0.0529       0.0529
0.0200       0.0543       0.0543
0.0210       0.0557       0.0557
0.0220       0.0572       0.0572
0.0230       0.0588       0.0588
0.0240       0.0604       0.0604
0.0250       0.0620       0.0621
0.0260       0.0638       0.0638
0.0270       0.0656       0.0656
0.0280       0.0674       0.0675
0.0290       0.0694       0.0694
0.0300       0.0713       0.0714
0.0310       0.0733       0.0734
0.0320       0.0754       0.0755
0.0330       0.0776       0.0776
0.0340       0.0797       0.0798
0.0350       0.0820       0.0820
0.0360       0.0842       0.0843
0.0370       0.0866       0.0866
0.0380       0.0889       0.0890
0.0390       0.0914       0.0914
0.0400       0.0938       0.0939
0.0410       0.0963       0.0964
0.0420       0.0989       0.0990
0.0430       0.1015       0.1016
0.0440       0.1041       0.1042
0.0450       0.1068       0.1069
0.0460       0.1095       0.1096
0.0470       0.1122       0.1123
0.0480       0.1150       0.1151
0.0490       0.1178       0.1179
0.0501       0.1207       0.1208
0.0511       0.1235       0.1236
0.0521       0.1264       0.1265
0.0531       0.1294       0.1295
0.0541       0.1323       0.1324
0.0551       0.1353       0.1354
0.0561       0.1383       0.1384
0.0571       0.1413       0.1415
0.0581       0.1444       0.1445
0.0591       0.1475       0.1476
0.0601       0.1506       0.1507
0.0611       0.1537       0.1538
0.0621       0.1568       0.1570
0.0631       0.1600       0.1601
0.0641       0.1631       0.1633
0.0651       0.1663       0.1665
0.0661       0.1695       0.1696
0.0671       0.1727       0.1729
0.0681       0.1759       0.1761
0.0691       0.1791       0.1793
0.0701       0.1824       0.1825
0.0711       0.1856       0.1858
0.0721       0.1889       0.1890
0.0731       0.1921       0.1923
0.0741       0.1954       0.1956
0.0751       0.1986       0.1988
0.0761       0.2019       0.2021
0.0771       0.2052       0.2054
0.0781       0.2085       0.2086
0.0791       0.2117       0.2119
0.0801       0.2150       0.2152
