   lam            R                  T
 934.0       0.0478       0.9522
 924.8       0.0492       0.9508
 915.7       0.1117       0.8883
 906.8       0.1961       0.8039
 898.1       0.2655       0.7345
 889.5       0.3024       0.6976
 881.1       0.3019       0.6981
 872.9       0.2640       0.7360
 864.8       0.1936       0.8064
 856.9       0.1089       0.8911
 849.1       0.0478       0.9522
 841.4       0.0491       0.9509
 833.9       0.1121       0.8879
 826.5       0.1972       0.8028
 819.3       0.2670       0.7330
 812.2       0.3040       0.6960
 805.2       0.3032       0.6968
 798.3       0.2646       0.7354
 791.5       0.1934       0.8066
 784.9       0.1080       0.8920
 778.3       0.0470       0.9530
 771.9       0.0498       0.9502
 765.6       0.1145       0.8855
 759.3       0.2006       0.7994
 753.2       0.2703       0.7297
 747.2       0.3065       0.6935
 741.3       0.3044       0.6956
 735.4       0.2642       0.7358
 729.7       0.1913       0.8087
 724.0       0.1049       0.8951
 718.5       0.0453       0.9547
 713.0       0.0517       0.9483
 707.6       0.1199       0.8801
 702.3       0.2072       0.7928
 697.0       0.2761       0.7239
 691.9       0.3103       0.6897
 686.8       0.3057       0.6943
 681.8       0.2623       0.7377
 676.8       0.1863       0.8137
 671.9       0.0987       0.9013
 667.1       0.0425       0.9575
 662.4       0.0560       0.9440
 657.7       0.1299       0.8701
 653.1       0.2185       0.7815
 648.6       0.2855       0.7145
 644.1       0.3161       0.6839
 639.7       0.3067       0.6933
 635.4       0.2579       0.7421
 631.1       0.1768       0.8232
 626.8       0.0882       0.9118
 622.7       0.0389       0.9611
 618.5       0.0650       0.9350
 614.5       0.1476       0.8524
 610.5       0.2374       0.7626
 606.5       0.3003       0.6997
 602.6       0.3243       0.6757
 598.7       0.3066       0.6934
 594.9       0.2485       0.7515
 591.1       0.1596       0.8404
 587.4       0.0713       0.9287
 583.8       0.0371       0.9629
 580.1       0.0846       0.9154
 576.5       0.1793       0.8207
 573.0       0.2684       0.7316
 569.5       0.3232       0.6768
 566.1       0.3351       0.6649
 562.7       0.3029       0.6971
 559.3       0.2286       0.7714
 556.0       0.1280       0.8720
 552.7       0.0475       0.9525
 549.4       0.0472       0.9528
 546.2       0.1306       0.8694
 543.0       0.2384       0.7616
 539.9       0.3202       0.6798
 536.8       0.3574       0.6426
 533.7       0.3460       0.6540
 530.7       0.2850       0.7150
 527.7       0.1806       0.8194
 524.7       0.0701       0.9299
 521.8       0.0345       0.9655
 518.9       0.1152       0.8848
 516.0       0.2467       0.7533
 513.2       0.3526       0.6474
 510.4       0.4051       0.5949
 507.6       0.3994       0.6006
 504.9       0.3306       0.6694
 502.2       0.1978       0.8022
 499.5       0.0541       0.9459
 496.8       0.0532       0.9468
 494.2       0.2294       0.7706
 491.6       0.4147       0.5853
 489.0       0.5216       0.4784
 486.5       0.5451       0.4549
 483.9       0.4705       0.5295
 481.4       0.2332       0.7668
 479.0       0.0351       0.9649
 476.5       0.5458       0.4542
 474.1       0.8430       0.1570
 471.7       0.9348       0.0652
 469.3       0.9674       0.0326
 467.0       0.9813       0.0187
 464.7       0.9880       0.0120
 462.4       0.9917       0.0083
 460.1       0.9937       0.0063
 457.8       0.9950       0.0050
 455.6       0.9957       0.0043
 453.4       0.9961       0.0039
 451.2       0.9963       0.0037
 449.0       0.9963       0.0037
 446.9       0.9961       0.0039
 444.8       0.9957       0.0043
 442.7       0.9950       0.0050
 440.6       0.9937       0.0063
 438.5       0.9917       0.0083
 436.4       0.9881       0.0119
 434.4       0.9814       0.0186
 432.4       0.9676       0.0324
 430.4       0.9352       0.0648
 428.4       0.8444       0.1556
 426.5       0.5501       0.4499
 424.5       0.0370       0.9630
 422.6       0.2305       0.7695
 420.7       0.4696       0.5304
 418.8       0.5452       0.4548
 417.0       0.5225       0.4775
 415.1       0.4164       0.5836
 413.3       0.2316       0.7684
 411.5       0.0543       0.9457
 409.6       0.0531       0.9469
 407.9       0.1964       0.8036
 406.1       0.3299       0.6701
 404.3       0.3993       0.6007
 402.6       0.4056       0.5944
 400.9       0.3537       0.6463
 399.1       0.2482       0.7518
 397.4       0.1165       0.8835
 395.8       0.0348       0.9652
 394.1       0.0693       0.9307
 392.4       0.1795       0.8205
 390.8       0.2843       0.7157
 389.2       0.3459       0.6541
 387.6       0.3577       0.6423
 386.0       0.3211       0.6789
 384.4       0.2397       0.7603
 382.8       0.1318       0.8682
 381.2       0.0478       0.9522
 379.7       0.0470       0.9530
 378.1       0.1270       0.8730
 376.6       0.2277       0.7723
 375.1       0.3025       0.6975
 373.6       0.3352       0.6648
 372.1       0.3237       0.6763
 370.6       0.2694       0.7306
 369.2       0.1805       0.8195
 367.7       0.0855       0.9145
 366.3       0.0372       0.9628
 364.8       0.0706       0.9294
 363.4       0.1586       0.8414
 362.0       0.2478       0.7522
 360.6       0.3064       0.6936
 359.2       0.3245       0.6755
 357.9       0.3010       0.6990
 356.5       0.2384       0.7616
 355.1       0.1487       0.8513
 353.8       0.0657       0.9343
