   lam            R                  T
 934.0       0.2467       0.7533
 924.8       0.1727       0.8273
 915.7       0.0921       0.9079
 906.8       0.0427       0.9573
 898.1       0.0555       0.9445
 889.5       0.1220       0.8780
 881.1       0.2040       0.7960
 872.9       0.2694       0.7306
 864.8       0.3035       0.6965
 856.9       0.3021       0.6979
 849.1       0.2655       0.7345
 841.4       0.1980       0.8020
 833.9       0.1155       0.8845
 826.5       0.0519       0.9481
 819.3       0.0446       0.9554
 812.2       0.0989       0.9011
 805.2       0.1811       0.8189
 798.3       0.2542       0.7458
 791.5       0.2986       0.7014
 784.9       0.3079       0.6921
 778.3       0.2812       0.7188
 771.9       0.2214       0.7786
 765.6       0.1399       0.8601
 759.3       0.0658       0.9342
 753.2       0.0395       0.9605
 747.2       0.0789       0.9211
 741.3       0.1584       0.8416
 735.4       0.2378       0.7622
 729.7       0.2917       0.7083
 724.0       0.3112       0.6888
 718.5       0.2944       0.7056
 713.0       0.2426       0.7574
 707.6       0.1641       0.8359
 702.3       0.0829       0.9171
 697.0       0.0397       0.9603
 691.9       0.0630       0.9370
 686.8       0.1373       0.8627
 681.8       0.2212       0.7788
 676.8       0.2840       0.7160
 671.9       0.3131       0.6869
 667.1       0.3054       0.6946
 662.4       0.2616       0.7384
 657.7       0.1871       0.8129
 653.1       0.1016       0.8984
 648.6       0.0440       0.9560
 644.1       0.0514       0.9486
 639.7       0.1191       0.8809
 635.4       0.2064       0.7936
 631.1       0.2772       0.7228
 626.8       0.3150       0.6850
 622.7       0.3156       0.6844
 618.5       0.2787       0.7213
 614.5       0.2082       0.7918
 610.5       0.1198       0.8802
 606.5       0.0505       0.9495
 602.6       0.0439       0.9561
 598.7       0.1056       0.8944
 594.9       0.1962       0.8038
 591.1       0.2744       0.7256
 587.4       0.3199       0.6801
 583.8       0.3272       0.6728
 580.1       0.2955       0.7045
 576.5       0.2271       0.7729
 573.0       0.1353       0.8647
 569.5       0.0563       0.9437
 566.1       0.0397       0.9603
 562.7       0.0997       0.9003
 559.3       0.1962       0.8038
 556.0       0.2820       0.7180
 552.7       0.3338       0.6662
 549.4       0.3452       0.6548
 546.2       0.3149       0.6851
 543.0       0.2442       0.7558
 539.9       0.1448       0.8552
 536.8       0.0562       0.9438
 533.7       0.0384       0.9616
 530.7       0.1101       0.8899
 527.7       0.2213       0.7787
 524.7       0.3166       0.6834
 521.8       0.3718       0.6282
 518.9       0.3817       0.6183
 516.0       0.3445       0.6555
 513.2       0.2589       0.7411
 510.4       0.1379       0.8621
 507.6       0.0398       0.9602
 504.9       0.0549       0.9451
 502.2       0.1837       0.8163
 499.5       0.3316       0.6684
 496.8       0.4360       0.5640
 494.2       0.4844       0.5156
 491.6       0.4755       0.5245
 489.0       0.3989       0.6011
 486.5       0.2342       0.7658
 483.9       0.0388       0.9612
 481.4       0.1335       0.8665
